id,content,date,retweets,favorites,mentions,hashtags,,,,,,,
1.21315E+18,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, he’s going to enter a Motion to Dismiss the Impeachment Trial because it’s never actually been brought to trial.�?,2020-01-03 11:27:08,14065,65140,,
1213316570606428160,https://twitter.com/realDonaldTrump/status/1213316570606428160,pic.twitter.com/qOi7mpKcHY,2020-01-03 22:29:47,24194,159892,,
1213474475250987009,https://twitter.com/realDonaldTrump/status/1213474475250987009,95% Approval Rating in the Republican Party. Thank you!,2020-01-04 08:57:14,41313,325545,,
1213585005986959361,https://twitter.com/realDonaldTrump/status/1213585005986959361,As hard as I work", & as successful as our Country has become with our Economy, our Military & everything else," it is ashame that the Democrats make us spend so much time & money on this ridiculous Impeachment Lite Hoax. I should be able to devote all of my time to the REAL USA!""",2020/1/4 16:16,46263,266783,,,,,,
1.21359E+18,"Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, & badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently....",2020/1/4 16:52,62235,283379,,,,,,,,,
1.21359E+18,"....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have.....",2020/1/4 16:52,38833,185538,,,,,,,,,
1.21359E+18,"....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level & important to Iran & the Iranian culture, and those targets, and Iran itself, WILL BE HIT VERY FAST AND VERY HARD. The USA wants no more threats!",2020/1/4 16:52,59883,261010,,,,,,,,,
1.21368E+18,"They attacked us, & we hit back. If they attack again, which I would strongly advise them not to do, we will hit them harder than they have ever been hit before!https://twitter.com/DanCrenshawTX/status/1213583859402657793 �?,2020-01-04 22:53:04,61315,275747,,
1213689342272659456,https://twitter.com/realDonaldTrump/status/1213689342272659456,The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base", or any American," we will be sending some of that brand new beautiful equipment their way...and without hesitation!""",2020/1/4 23:11,138582,660344,,,,,,,
1.21392E+18,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly & fully strike back, & perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!",2020/1/5 14:25,79966,365983,,,,,,,,,
1.21418E+18,"“The reason they are not sending the Articles of Impeachment to the Senate is that they are so weak and so pathetic.�?@ LindseyGrahamSC @ MariaBartiromo The great Scam continues. To be spending time on this political Hoax at this moment in our history, when I am so busy, is sad!",2020/1/6 7:37,27852,133075,"@LindseyGrahamSC,@MariaBartiromo",,,,,,,,
1.21419E+18,"The Impeachment Hoax, just a continuation of the Witch Hunt which started even before I won the Election, must end quickly. Read the Transcripts, see the Ukrainian President’s strong statement, NO PRESSURE - get this done. It is a con game by the Dems to help with the Election!",2020/1/6 8:32,24375,122427,,,,,,,,,
1.21419E+18,"Congress & the President should not be wasting their time and energy on a continuation of the totally partisan Impeachment Hoax when we have so many important matters pending. 196 to ZERO was the Republican House vote, & we got 3 Dems. This was not what the Founders had in mind!",2020/1/6 8:39,27879,149152,,,,,,,,,
1.2142E+18,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!,2020/1/6 8:48,82133,454438,,,,,,,,,
1.21423E+18,pic.twitter.com/XpVY2bnR5a,2020/1/6 11:02,19405,70048,,,,,,,,,
1.21423E+18,pic.twitter.com/dXBP7Srsqy,2020/1/6 11:02,27236,108385,,,,,,,,,
1.21433E+18,"The homeless situation in Los Angeles, San Francisco, and many other Democrat Party run cities throughout the Nation is a state and local problem, not a federal problem....",2020/1/6 17:50,29583,153312,,,,,,,,,
1.21433E+18,"....If however, the city or state in question is willing to acknowledge responsibility, and politely asks for help from the Federal Government, we will very seriously consider getting involved in order to make those poorly run Democrat Cities Great Again!",2020/1/6 17:50,17746,94853,,,,,,,,,
1.21435E+18,Amazing analysis & reporting!https://twitter.com/realDonaldTrump/status/1214230745176322048 �?2020-01-06 18:40:15,17496,68991,,,,,,,,,,
1.21451E+18,We love Australia!https://twitter.com/ScottMorrisonMP/status/1214373985988698112 �?2020-01-07 05:44:32,23732,170298,,,,,,,,,,
